,title,Release date,Rotten Tomatoes,Internet Movie Database,Metacritic
0,Academy Award Review of,1937-05-19,0,7.1,0
1,Snow White and the Seven Dwarfs,,0,0,0
2,Pinocchio,,0,0,0
3,Fantasia,1940-11-13,95,7.7,96
4,The Reluctant Dragon,1941-06-27,0,6.8,0
5,Dumbo,,0,0,0
6,Bambi,,0,0,0
7,Saludos Amigos,,0,0,0
8,Victory Through Air Power,1943-07-17,0,6.6,0
9,The Three Caballeros,,0,0,0
10,Make Mine Music,,0,0,0
11,Song of the South,,0,0,0
12,Fun and Fancy Free,1947-09-27,67,6.5,66
13,Melody Time,,0,0,0
14,So Dear to My Heart,,0,0,0
15,The Adventures of Ichabod and Mr. Toad,1949-10-05,94,6.9,74
16,Cinderella,,0,0,0
17,Treasure Island,,0,0,0
18,Alice in Wonderland,,0,0,0
19,The Story of Robin Hood,,0,0,0
20,Peter Pan,1953-02-05,79,7.3,76
21,The Sword and the Rose,1953-07-23,0,6.3,0
22,The Living Desert,1953-11-10,0,7.4,69
23,Rob Roy: The Highland Rogue,,0,0,0
24,The Vanishing Prairie,1954-08-17,0,7.4,0
25,"20,000 Leagues Under the Sea",1954-12-23,90,7.2,83
26,Davy Crockett: King of the Wild Frontier,,0,0,0
27,Lady and the Tramp,1955-06-22,93,7.3,78
28,The African Lion,1955-09-14,0,7.2,0
29,The Littlest Outlaw,,0,0,0
30,The Great Locomotive Chase,,0,0,0
31,Davy Crockett and the River Pirates,,0,0,0
32,Secrets of Life,1956-09-04,0,7.4,0
33,Westward Ho the Wagons!,1956-12-20,0,5.8,0
34,Johnny Tremain,,0,0,0
35,Perri,,0,0,0
36,Old Yeller,1957-12-25,100,7.3,84
37,The Light in the Forest,1958-07-08,0,6.4,0
38,White Wilderness,1958-08-12,0,5.4,0
39,Tonka,1958-12-25,0,6.4,0
40,Sleeping Beauty,1959-01-29,89,7.2,85
41,The Shaggy Dog,1959-03-19,68,6.5,45
42,Darby O'Gill and the Little People,,0,0,0
43,Third Man on the Mountain,1959-11-10,0,7.1,0
44,Toby Tyler or 10 Weeks with a Circus,,0,0,0
45,Kidnapped,1960-02-24,0,0,0
46,Pollyanna,,0,0,0
47,Jungle Cat,,0,0,0
48,Ten Who Dared,1960-11-01,0,5.5,0
49,Swiss Family Robinson,1960-12-21,83,7.1,61
50,101 Dalmatians,1961-01-25,0,0,0
51,The Absent-Minded Professor,,0,0,0
52,The Parent Trap,1961-06-21,90,7.2,73
53,Nikki: Wild Dog of the North,1961-07-12,0,6.7,0
54,Greyfriars Bobby,1961-07-17,100,7.3,0
55,Babes in Toyland,1961-12-14,36,6.2,55
56,Moon Pilot,,0,0,0
57,Bon Voyage!,1962-05-17,0,5.7,0
58,Big Red,1962-06-06,0,6.4,0
59,Almost Angels,,0,0,0
60,The Legend of Lobo,1962-11-07,0,6.8,0
61,In Search of the Castaways,,0,0,0
62,Son of Flubber,1963-01-16,88,6.1,0
63,Miracle of the White Stallions,1963-03-29,0,6.5,0
64,Savage Sam,1963-06-01,50,6.1,0
65,Summer Magic,1963-07-07,0,6.9,0
66,The Incredible Journey,,0,0,0
67,The Sword in the Stone,1963-12-25,66,7.2,61
68,A Tiger Walks,1964-03-12,0,6.3,0
69,The Misadventures of Merlin Jones,1964-02-11,0,6.4,0
70,The Three Lives of Thomasina,,0,0,0
71,The Moon-Spinners,1964-07-02,0,6.6,0
72,Mary Poppins,,0,0,0
73,Those Calloways,,0,0,0
74,Emil and the Detectives,1964-12-18,0,6.2,0
